中華民國111年有價證券集中交易市場開（休）市日期表
名稱,日期,星期,說明,備註(* : 市場無交易，僅辦理結算交割作業。o : 交易日。)
"中華民國開國紀念日","1月1日","六","依規定放假1日。",""
"國曆新年開始交易日","1月3日","一","國曆新年開始交易。","o"
"農曆春節前最後交易日","1月26日","三","農曆春節前最後交易。","o"
"農曆春節前最後交易日","1月27日","四","1月27日市場無交易，僅辦理結算交割作業。","*"
"農曆春節前最後交易日","1月28日","五","1月28日市場無交易，僅辦理結算交割作業。","*"
"農曆除夕","1月31日","一","依規定放假1日。",""
"農曆春節","2月1日","二","依規定放假1日。",""
"農曆春節","2月2日","三","依規定放假1日。",""
"農曆春節","2月3日","四","依規定放假1日。",""
"農曆春節","2月4日","五","2月4日（星期五）調整放假，於1月22日（星期六）補行上班，但不交易亦不交割。",""
"農曆春節後開始交易日","2月7日","一","農曆春節後開始交易。","o"
"和平紀念日","2月28日","一","依規定放假1日。",""
"兒童節","4月4日","一","依規定放假1日。",""
"民族掃墓節","4月5日","二","依規定放假1日。",""
"勞動節","5月1日","日","依規定放假1日。",""
"勞動節","5月2日","一","5月1日適逢星期日，5月2日（星期一）補假1日。",""
"端午節","6月3日","五","依規定放假1日。",""
"中秋節","9月9日","五","9月10日適逢星期六，9月9日（星期五）補假1日。",""
"中秋節","9月10日","六","依規定放假1日。",""
"國慶日","10月10日","一","依規定放假1日。",""
